gene_id	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
ENSG00000007372	1	0	0	0	0	0	0	0	0
ENSG00000007376	201	0	13	39	0	0	0	0	0
ENSG00000007384	0	93	7	363	1	0	86	0	0
ENSG00000007392	244	1	387	406	1	3819	592	1	2170
ENSG00000007402	0	0	1	0	0	0	76	0	18
ENSG00000007516	7.79	0	1.23	1.18	0	0	0	0	0
ENSG00000007520	448.21	1	91.77	194.82	0	0	34	0	36
ENSG00000007541	138	7	58.13	407	0	0	0	0	0
ENSG00000007545	112.67	0	63.81	91.09	0	0	137.57	0	1.36
ENSG00000007866	0	0	0	859	0	0	2	6	0
ENSG00000007908	0	0	1	5	0	0	590	260	0
ENSG00000007923	219	0	267.05	109	4	1	583	566	0
ENSG00000007933	16	2	1	117.89	0	0	0	2	1.47
ENSG00000007944	301	289	538	137	5	0	41	3	0
ENSG00000007952	0	0	90	3	0	0	723	0	0
ENSG00000007968	2.07	0	0.95	2.99	0	0	0	0	0
ENSG00000008018	88	8	152	52	41	0	1019	0	11
ENSG00000008056	84	9	0	0	0	0	0	0	0
ENSG00000008083	1591	1	305	268	4056	0	630	419	14
ENSG00000008086	263.85	49.88	55.29	119.42	68.97	0	7.79	2.31	10.28
ENSG00000008118	37	0	0	0	0	0	0	0	0
ENSG00000008128	253.02	1	175.61	119.54	311.53	9	61.92	67.55	397
ENSG00000008130	438	576	643	260	1	2713	245	63	12
ENSG00000008196	0	0	0	0	0	0	0	0	0
ENSG00000008197	0	0	0	0	0	0	0	0	0
ENSG00000008226	30	0	0	0	0	0	0	0	0
ENSG00000008256	38	59	1	324	0	0	357	0	0
ENSG00000008277	0	0	152	1	0	0	0	1	0
ENSG00000008282	166	67	387	143	2	1	201	0	1
ENSG00000008283	33	0	150.86	757.63	0	1	0	0	213
ENSG00000008294	512.65	156.22	510	423	0	12	238	1	840.42
ENSG00000008300	1	0	57	0	8412	0	684	0	3
ENSG00000008311	16.32	58.77	29.32	153.79	81.64	0	153.02	41.18	0
ENSG00000008323	43	0	13	0	0	0	139	0	1
ENSG00000008324	19	0	27	3	0	0	1	0	1
ENSG00000008382	54.64	0	2	0	0	0	260	0	0
ENSG00000008394	31	752	7.48	136.02	0	332	182	9.58	59
ENSG00000008405	48	15	8	21	22	0	91	0	318
ENSG00000008438	0	0	7	0	0	0	0	0	0
ENSG00000008441	37	1415	3	371	0	1	83	0	1343
ENSG00000008513	2136	1	840	487	2	3	1	3067	19
ENSG00000008516	44	0	53	0	0	0	0	0	0
ENSG00000008517	0	0	586	513	1128	0	1102	0	4041
ENSG00000008710	46.04	1456.39	343.66	941.39	36.14	0	0	327.29	454.01
ENSG00000008735	0	0	0	1.04	29.08	0	2.58	0	0
ENSG00000008838	126	1	126	34	0	2.78	0	1	0
ENSG00000008853	115.77	0	29	53	0	0	0	0	0
ENSG00000008869	878	49	227	312	0	0	956	0	10
ENSG00000008952	1689	596.41	444	249	1970	2	602	3085	536
ENSG00000008988	2531.16	1027.41	969.8	806.53	1298.46	3260.08	944.48	9.99	5077.34
ENSG00000009307	4954	3525	1780	1799	399	280	2353	504	5964
ENSG00000009335	350	6629.81	179.97	493	1.01	0	411.69	0	1
ENSG00000009413	778.64	178.1	140.65	408.1	27.29	18.82	58.17	121	349.19
ENSG00000009694	0	0	11	1	2	0	183	0	0
ENSG00000009709	0	0	0	0	0	0	0	0	0
ENSG00000009724	48	0	0	0	0	0	0	0	0
ENSG00000009765	1.02	0	187.67	5.32	3.19	0	368	0	2.08
ENSG00000009780	68	0	45	6	0	0	12	102	1
ENSG00000009790	209	1	98.08	0	454	0	158	0	9
ENSG00000009830	14	0	1	209	0	0	0	0	0
